site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Ballyrolly,Badger,Badger,1,30,8,summer,2013,00:18:00,05:29,19:23,-5.18
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:28:00,06:39,17:48,-5.18
Lisnaskea Forest,Mouse,Mouse,1,15,9,autumn,2015,23:56:00,05:58,18:44,-5.18
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,03:03:00,08:14,17:06,-5.18
Bowtown Road,Fox,Fox,1,29,1,winter,2014,22:09:00,08:21,16:58,-5.02
Belmore,Marten,Pine Marten,1,8,2,winter,2014,22:30:00,08:03,17:19,-5.02
Erik & Cecil's,Fox,Fox,1,30,11,autumn,2013,03:15:00,08:24,16:05,-5.15
Erik & Cecil's,Fox,Fox,1,28,11,autumn,2013,21:17:00,08:21,16:07,-5.15
Mount Stewart,Rabbit,Rabbit,1,11,3,spring,2014,23:31:00,06:51,18:22,-5.13
Curragh,Mouse,Wood mouse,1,3,3,spring,2014,02:04:00,07:11,18:06,-5.12
Middletown,Rabbit,Rabbit,1,18,3,spring,2015,01:27:00,06:34,18:35,-5.12
Dunnamore,Hare,Hare,1,10,4,spring,2013,00:30:00,05:36,19:20,-5.1
Lisnaskea Forest,Marten,Pine Marten,1,6,10,autumn,2015,22:57:00,06:37,17:51,-5.08
Belmore,Marten,Pine Marten,1,8,2,winter,2014,02:58:00,08:03,17:19,-5.08
Curragh,Mouse,Wood mouse,2,3,3,spring,2014,02:06:00,07:11,18:06,-5.08
Ely Lodge,Marten,Pine Marten,1,15,2,winter,2014,02:44:00,07:48,17:33,-5.07
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,03:07:00,08:11,16:13,-5.07
Bowtown Road,Badger,Badger,1,3,2,winter,2014,03:09:00,08:12,17:08,-5.05
Erik & Cecil's,Fallow,Fallow Deer,3,10,11,autumn,2013,02:44:00,07:47,16:32,-5.05
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:36:00,06:39,17:48,-5.05
Lisnaskea Forest,Marten,Pine Marten,1,14,11,autumn,2015,02:51:00,07:54,16:26,-5.05
Bowtown Road,Rabbit,Rabbit,1,26,1,winter,2014,21:56:00,08:26,16:52,-5.05
Cornakessagh,Marten,Pine Marten,1,8,2,winter,2014,03:01:00,08:03,17:19,-5.03
Reilly Wood,Marten,Pine Marten,1,11,3,spring,2014,01:50:00,06:51,18:22,-5.02
Bowtown Road,Fox,Fox,1,23,1,winter,2014,21:47:00,08:30,16:46,-5
Maghera,Hare,Hare,1,19,4,spring,2013,00:14:00,05:14,19:38,-5
Lisnaskea Forest,Sika,Sika,1,3,9,autumn,2015,00:36:00,05:36,19:14,-5
Moneymore,Hare,Hare,1,14,9,autumn,2013,23:45:00,05:57,18:45,-4.98
Mount Stewart,Fox,Fox,1,17,3,spring,2014,01:38:00,06:36,18:34,-4.97
Mount Stewart,Fox,Fox,1,6,3,spring,2014,02:06:00,07:04,18:12,-4.97
Belmore,Marten,Pine Marten,1,7,2,winter,2014,03:07:00,08:05,17:17,-4.97
Mount Stewart,Rabbit,Rabbit,1,13,3,spring,2014,01:48:00,06:46,18:26,-4.97
Bowtown Road,Badger,Badger,1,7,2,winter,2014,03:08:00,08:05,17:17,-4.95
Ballyhay Road,Fox,Fox,1,30,1,winter,2013,21:59:00,08:19,17:01,-4.95
Middletown,Hare,Hare,1,16,3,spring,2015,01:42:40,06:40,18:31,-4.95
Bowtown Road,Rabbit,Rabbit,1,31,1,winter,2014,22:00:00,08:18,17:02,-4.95
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:43:00,06:39,17:48,-4.93
Belmore,Marten,Pine Marten,1,8,2,winter,2014,22:16:00,08:03,17:19,-4.93
Mount Stewart,Fox,Fox,1,16,3,spring,2014,23:28:00,06:39,18:32,-4.92
Killcooley Wood,Fox,Fox,1,21,1,winter,2014,03:38:00,08:33,16:42,-4.92
Cypress Wood,Fox,Fox,1,24,1,winter,2013,21:44:00,08:29,16:49,-4.92
Bellaghy,Hare,Hare,1,25,4,spring,2013,00:06:00,05:00,19:49,-4.9
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,21:12:00,08:06,16:17,-4.9
Lisnaskea Forest,Mouse,Mouse,1,14,9,autumn,2015,23:41:00,05:56,18:46,-4.9
Michael's Farm,Rabbit,Rabbit,1,5,10,autumn,2013,01:42:00,06:36,17:52,-4.9
